piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus
A-MCAU_ZI1785-084_SID082	1: 4/4	1: 1	23	23	92.0	29	29	116.0	168.0	158	83	0	0	0	Zinck, Bendix Friedrich	Bereite dich, o Christ, wir gehen								2021-04-12	Microsoft Windows			Bereite dich, o Christ, wir gehen		Zinck, Bendix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-084_SID082.mscz	False	38-76 (D2-E5)	Piano	59-76 (B3-E5)	Piano	38-59 (D2-B3)
A-MCAU_ZI1785-085_SID013	1: 4/4	1: -3	9	9	36.0	9	9	36.0	64.0	63	33	0	0	0	Zinck	"Die Sonne stand verfinstert
"								2021-02-25	Microsoft Windows			"Die Sonne stand verfinstert
"		Zinck	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-085_SID013.mscz	False	41-75 (F2-Eb5)	Piano	63-75 (Eb4-Eb5)	Piano	41-55 (F2-G3)
A-MCAU_ZI1785-086_SID061	1: 4/4	1: 1	13	13	52.0	18	18	72.0	94.0	89	47	0	0	0	Zinck, Bendix Friedrich	O Lamm Gottes unschuldig								2021-04-12	Microsoft Windows			O Lamm Gottes unschuldig		Zinck, Bendix Friedrich	3.6.0	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-086_SID061.mscz	False	38-76 (D2-E5)	Piano	62-76 (D4-E5)	Piano	38-57 (D2-A3)
A-MCAU_ZI1785-087	1: 4/4	1: 1	7	7	28.0	7	7	28.0	54.0	48	27	0	0	0	Zinck, Benedix Friedrich	Christe, du Lamm Gottes								2022-07-27	Microsoft Windows			Christe, du Lamm Gottes	ZI1785-087	Zinck, Benedix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-087.mscz	False	40-74 (E2-D5)	Piano	67-74 (G4-D5)	Piano	40-55 (E2-G3)
A-MCAU_ZI1785-088_SID051	1: 4/4	1: 2	25	25	100.0	29	29	116.0	190.0	172	90	0	0	0	Zinck	"Deine heilige Geburt
"								2021-03-11	Microsoft Windows			"Deine heilige Geburt
"		Zinck	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-088_SID051.mscz	False	40-76 (E2-E5)	Piano	62-76 (D4-E5)	Piano	40-57 (E2-A3)
A-MCAU_ZI1785-089_SID067	1: 4/4	1: -1	17	17	68.0	22	22	88.0	136.0	134	72	0	0	0	Zinck, Bendix Friedrich	Preis dem Todesüberwinder								2021-04-12	Microsoft Windows			Preis dem Todesüberwinder		Zinck, Bendix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-089_SID067.mscz	False	36-77 (C2-F5)	Piano	62-77 (D4-F5)	Piano	36-57 (C2-A3)
A-MCAU_ZI1785-090_SID010	1: 4/4	1: -1	11	11	44.0	11	11	44.0	82.0	74	38	0	0	0	Zinck	"Christ ist erstanden
"								2021-02-25	Microsoft Windows			"Christ ist erstanden
"		Zinck	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-090_SID010.mscz	False	38-72 (D2-C5)	Piano	62-72 (D4-C5)	Piano	38-53 (D2-F3)
A-MCAU_ZI1785-091a_SID044	1: 4/4	1: 0	12	12	48.0	12	12	48.0	90.0	70	35	0	0	0	Zinck	"Jesus Christus, unser Heiland, der den Tod [Melodie a]
"								2021-03-11	Microsoft Windows			"Jesus Christus, unser Heiland, der den Tod [Melodie a]
"		Zinck	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-091a_SID044.mscz	False	40-72 (E2-C5)	Piano	64-72 (E4-C5)	Piano	40-57 (E2-A3)
A-MCAU_ZI1785-091b	1: 4/4	1: -1	11	11	44.0	11	11	44.0	80.0	70	37	0	0	0	Zinck, Benedix Friedrich	Jesus Christus, unser Heiland, der den Tod								2022-06-24	Microsoft Windows			Jesus Christus, unser Heiland, der den Tod	ZI1785-091b	Zinck, Benedix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-091b.mscz	False	36-75 (C2-Eb5)	Piano	64-75 (E4-Eb5)	Piano	36-53 (C2-F3)
A-MCAU_ZI1785-092_SID011	1: 4/4	1: -1	14	14	56.0	19	19	76.0	102.0	98	52	0	0	0	Zinck	"Sey mir o Tag des Herrn gegrüßt
"								2021-02-25	Microsoft Windows			"Sey mir o Tag des Herrn gegrüßt
"		Zinck	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-092_SID011.mscz	False	38-76 (D2-E5)	Piano	62-76 (D4-E5)	Piano	38-53 (D2-F3)
